피드백,건수
AI Chat이 알려준 정보가 유용함,1807
AI Chat이 내 말을 잘 이해함,526
AI Chat이 알려준 정보가 도움이 되지 않음,357
AI Chat 이용 중 오류 없이 대화함,328
AI Chat이 내 말을 이해하지 못함,186
AI Chat 이용 중 오류가 발생함,21
.,3
"공기청정기 사용시 나오는 소리/소음 db 문의했는데 홈페이지 찾아보라는 답변을함.
홈페이지 찾는것 보다 ai 도움 받는게 빠르고 실제 홈페이지 어디에서 찾아봐야 하는지에 대한 답은 도움을 줄수 없다고 나옴. 해당 정보를 홈페이지에서 제공하지 않는것으로 이해됨",1
상품을 제대로 찾지 못함,1
전자레인지에서 타탁 소리가 나서 무서워서 꺼놨어요,1
궁금한거 찾기 쉽지않아 물어보는건데 홈페이지에서 찾아보라고 답변하면 이게 무슨쓸모일까요?,1
해봐도 tv가 안나와요,1
해당내용에 대한 데이터베이스가 부족한 듯합니다,1
배송일 변경 해결까지는 안되고 전화번호까지 알려줘서 2차로 다시 전화해서 해결해야함,1
답변이 빨라서 조앗어요,1
직접 증상을 말할수 없음. ,1
바보야 ,1
아직 문의에 해결안됨,1
정확한 답변이 아니라서 아쉬움 ,1
어떻게 글을 써야 AI가이해를 할지 내 자신의표현을 제대로하지못하겠어요. 상담사와대화한다면 서로이해하면서 말이통할것같은데요 AI에게 상담사와대화하듯함 시험해볼까도싶어요,1
질문에 대한 답이 아니라 딴소리만 계속합니다,1
엘지전자 완전 실망,1
상담사 친절하고 대응이 빠름,1
"상담원과 통화하게 해주세요
노인네집이라 어려운 입력도힘들어요
올해산 김치냉장고 작도만되네요",1
디테일한 부분이 필요함,1
구형제품  확인 못함,1
상황별 처리 결과 추가 필요,1
불편함,1
질문에 대해 이해를 잘 하지 못함,1
정보 고마워,1
연결해준 사람 상담사분이 잘 안내해주심,1
장난하냐,1
하이드로타워 잠금기능 방법을 알려달라고했는데 상담해야한다고하네요. ,1
노약자는 이용도 못하겠네요....ㅡㅡ,1
"묻는대로 입력하면 해결이 되니 아주 좋네요 
감사합니다. 수고하십시요.",1
별로에요,1
"AI챗은 전혀 만족스럽지 않았구요.
채팅 상담사님의 깔끔하고 신속한 안내가 좋았습니다.
감사합니다.",1
긴 말은 자세하게는 이해하지 못함 간단한 말이나 끊어서 설명하면 알아들음,1
"휴대폰  사용이  서툴고,  돋보기를  써도  글씨가  잘안보입니다.  ",1
쿵쿵  소리가   매우 크게 나와서 ^^전원 을 끄고 있어요 ,1
"비교 하기로 보기 불편해서
문의 했는데 제대로 설명을 못 함",1
매뉴얼기 부ㅜ족함,1
"아직은 잘 소통되지 않음
",1
영상 분석 인식이 없다. ,1
직접해 보니 문제 해결이 안됨,1
간단한 질문부터 단계별 자세한 응답까지 준비가 되면 좋겠습니다. 감사합니다.,1
"개인정보가. 노출 되었다기에. 내휴대폰번호는 안바뀠어요.
라고 답했어요.",1
전기렌지구입을 원하는데 전자렌지나 광파오븐을 권해주네요.,1
출잘예약함,1
문제가 해결되지는 않음,1
공기청정기 기능을 전혀 설명하지 못함,1
AI도 잘 이해하지 못하지만 기존 배송 서비스 체계가 더 이해안됨. 제품 수령 가능한 일정을 설정할 수도 없고 무작정 기다려야 하는 상황인데 전화로만 서비스가 가능한 상황 같음. 그렇다면 AI가 왜 필요할지?,1
따라해봤는데 안 됨,1
자사 제품 검색도 못하는 AI.. ㅠㅠ,1
짜증이 왜 나는지...,1
없음,1
굿,1
감사합니다.,1
11월7일3시이후에 오세요,1
등록 글중 해당되는게 없내여....,1
안알려줌,1
시간이 늦어 피드백이 안되네요.,1
동문서답 ㅎㅎㅎㅎ 왜 만들었을까 ㅎㅎㅎㅎ,1
원하는 서비스를 입렫할 수가 없었어요,1
대화가안됨,1
증상이 적는건없음,1
상담요청,1
제품 수량 확보하고 구매버튼 활성화를 시키시길,1
원하는 답을 못찾음,1
모른다고 함,1
"안녕하세요 인사만 했는데 모른다는 답. 
이럴거면 챗봇이 왜 있지?
심지어 12시부터 13시까지 점심시간이라 기다렸는데",1
전화 번호 변경에  대한 답변이 없음,1
소모품 품절시 언제 재입고되나요?,1
단종된 제품 기본정보도 모름,1
정상,1
창에ddc가 뜨면서 작동이 안됨,1
질문에 충분한 대답이 되지않음,1
비교적 잘 이해함,1
문제해결은 시간을 두고 지켜봐야될것 같습니다,1
서비스 받는 기간이 너무 김,1
