지수명,0~100 해석 기준,설명,주요 해석 기준,개정 포인트,비고,표준화 규칙,범위,설명,비고
상담사_해결의지,낮음=소극적 응답 위주 / 높음=확인·추적·실행 의지가 분명,상담사가 문제 해결을 위해 확인·조회·안내·조치를 시도한 정도,확인/조회/처리/예약/접수 표현이 많을수록 높음,질문·조회·확인·주문/접수/안내 등 해결 행동의 밀도,자동 추정,Valence_100,0~100,기존 Valence(-1~+1)를 (값+1)/2*100으로 변환,"50=중립, 100=강한 긍정, 0=강한 부정"
상담사_솔루션구체성,낮음=원론적 안내 / 높음=실행 가능한 구체 안내,상담사가 구체적이고 실행 가능한 솔루션을 제시한 정도,주소·전화번호·시간·비용·절차 등 구체 정보가 많을수록 높음,비용·주소·시간·기사·센터·결제 등 구체 솔루션 포함 정도,자동 추정,13개 지수_100,0~100,기존 1~5 척도를 (값-1)/4*100으로 변환,"0=최저, 50=보통(3점), 100=최고"
상담사_설명명확성,낮음=장황·혼선 / 높음=쉽고 분명한 설명,상담사 설명이 이해하기 쉽게 정리되어 있는 정도,고객의 재질문/혼란이 적고 설명 표현이 명확할수록 높음,"말의 구조성, 확인 표현, 불필요한 반복·군더더기 감소",자동 추정,주의,-,상호작용_마찰도는 높을수록 안 좋은 역방향 지수,해석 시 반대로 읽거나 필요시 역코딩 가능
상담사_공감표현,낮음=기계적 응대 / 높음=정서 수용 표현이 풍부,상담사가 불편 공감·사과·양해 표현을 사용한 정도,불편하셨겠습니다/죄송/양해 부탁' 등이 많을수록 높음,"불편·궁금·걱정 인정, 감사·양해 표현 등 정서적 수용",자동 추정,,,,
상담사_주도성,낮음=질문에만 반응 / 높음=선제적 가이드,상담사가 대화를 주도하며 필요한 정보를 선제적으로 확보한 정도,질문·확인·주도적 표현이 많을수록 높음,상담사가 다음 흐름을 잡고 선제 제안하는 정도,자동 추정,,,,
상담사_다음단계명확성,낮음=끝이 모호 / 높음=후속 단계가 선명,다음 행동(방문/예약/문자/연락 등)을 얼마나 명확히 안내했는지,후속 행동이 구체적으로 제시될수록 높음,누가 언제 무엇을 하는지의 시간·주체·행동이 명확한가,자동 추정,,,,
고객_문제구체성,낮음=막연한 호소 / 높음=상황 설명이 구체적,고객이 제품/증상/상황을 구체적으로 설명한 정도,모델명·증상·시간·부품 정보가 많을수록 높음,모델·증상·상황·시간 등 구체 정보 제시 정도,자동 추정,,,,
고객_문제객관성,낮음=평가적·감정적 / 높음=사실 중심,고객이 감정 과잉보다 사실 중심으로 설명한 정도,구체 정보가 많고 과도한 감정어가 적을수록 높음,감정 호소보다 사실·수치·상태 설명 비중,자동 추정,,,,
고객_감정강도,낮음=차분·중립 / 높음=강한 불안·불만·분노,고객이 드러낸 감정의 강도,기존 구간 Valence 절대값과 감정어 빈도를 함께 사용,고객 발화에 드러난 부정 정서의 세기,자동 추정,,,,
고객_협조도,낮음=저항·이탈 / 높음=질문에 잘 반응,상담 흐름에 대한 협조 정도,질문 응답·확인·필수 정보 제공이 원활할수록 높음,질문에 대한 응답성과 확인 협조 정도,자동 추정,,,,
상호작용_해결진척도,낮음=제자리걸음 / 높음=해결이 구체화,대화가 실제 해결 방향으로 전진한 정도,확인→안내→조치/다음 단계로 이어질수록 높음,대화가 실제 해결 방향으로 앞으로 나아가는 정도,자동 추정,,,,
상호작용_마찰도,낮음=매끄러움 / 높음=혼선과 마찰 큼,대화 중 반복·오해·막힘·부정 경험이 있었는지,반복 질문/재설명/부정 사유 언급이 많을수록 높음,반복확인·오해·막힘·대기 유발 신호,자동 추정,,,,
상호작용_감정회복력,낮음=회복 없음 / 높음=종료 시 감정 회복 뚜렷,초기 대비 종료 시점의 감정이 얼마나 회복되었는지,종료 Valence - 초기 Valence 기반,초기 대비 종료 시점 감정 회복 및 안도 형성 정도,기존 5구간 Valence 사용,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,오프닝,,,,,,,
,,"인사, 연결 직후",,,,,,,
,,첫 감정 상태 확인,,,,,,,
,,,,,,,,,
,,문제 제기,,,,,,,
,,고객이 이슈를 본격 설명,,,,,,,
,,불만/우려/혼란이 가장 잘 드러남,,,,,,,
,,,,,,,,,
,,문제 명료화,,,,,,,
,,상담사가 확인 질문,,,,,,,
,,"반복, 오해, 마찰 발생 지점",,,,,,,
,,,,,,,,,
,,해결 제안,,,,,,,
,,해결책/정책/안내 제시,,,,,,,
,,납득 여부가 갈림,,,,,,,
,,,,,,,,,
,,결정/정렬,,,,,,,
,,"고객이 받아들이는지, 재질문하는지",,,,,,,
,,감정 회복 또는 재하락 가능,,,,,,,
,,,,,,,,,
,,클로징,,,,,,,
,,종료 직전,,,,,,,
,,"실제 안도감, 체념, 잔류 불만 확인",,,,,,,
